Data Source,Licence,Home Page
02.covid_cpro,https://creativecommons.org/licenses/by/4.0/,https://opendata.aragon.es/datos/catalogo/dataset/publicaciones-y-anuncios-relacionados-con-el-coronavirus-en-aragon
15.covid_cp,https://choosealicense.com/no-permission/,
ES.covid_cpro,https://choosealicense.com/no-permission/,https://cnecovid.isciii.es/covid19/
ES.hosp_covid_cpro,https://choosealicense.com/no-permission/,https://cnecovid.isciii.es/covid19/
ES.covid_cca,https://choosealicense.com/no-permission/,https://cnecovid.isciii.es/covid19/
ES.covid_decl_cca,https://choosealicense.com/no-permission/,https://cnecovid.isciii.es/covid19/
06.covid_cumun,https://www.icane.es/footer/legal-advisory,https://www.scsalud.es/coronavirus
ES.MoMo_cca,https://choosealicense.com/no-permission/,https://momo.isciii.es/public/momo/dashboard/momo_dashboard.html
ES.confinements,https://choosealicense.com/no-permission/,
10.covid_cumun,http://www.opendefinition.org/licenses/cc-by,https://dadesobertes.gva.es/dataset/covid-19-casos-confirmats-pcr-casos-pcr-en-els-ultims-14-dies-i-persones-mortes-per-municipi-2020
10.covid_cumun,http://www.opendefinition.org/licenses/cc-by,https://dadesobertes.gva.es/dataset/covid-19-casos-confirmats-pcr-casos-pcr-en-els-ultims-14-dies-i-persones-mortes-per-municipi-2021
10.covid_ds,http://www.opendefinition.org/licenses/cc-by,https://dadesobertes.gva.es/dataset/covid-19-casos-confirmats-pcr-casos-pcr-ultims-14-dies-i-persones-mortes-per-departament-2020
10.covid_ds,http://www.opendefinition.org/licenses/cc-by,https://dadesobertes.gva.es/dataset/covid-19-casos-confirmats-pcr-casos-pcr-ultims-14-dies-i-persones-mortes-per-departament-2021
rel.pop_cumun,https://sedempr.gob.es/es/content/aviso-legal,"https://www.mptfp.gob.es/portal/politica-territorial/local/sistema_de_informacion_local_-SIL-/registro_eell.html,https://datos.gob.es/en/catalogo/e05024601-registro-de-entidades-locales-busqueda-por-municipios"
escovid19.prov,https://github.com/montera34/escovid19data/blob/master/LICENSE.md,https://github.com/montera34/escovid19data
escovid19.ccaa,https://github.com/montera34/escovid19data/blob/master/LICENSE.md,https://github.com/montera34/escovid19data
escovid19.spain,https://github.com/montera34/escovid19data/blob/master/LICENSE.md,https://github.com/montera34/escovid19data
12.covid_as,https://choosealicense.com/no-permission/,https://coronavirus.sergas.gal/datos/#/es-ES/galicia
12.covid_pcr_as,https://choosealicense.com/no-permission/,https://coronavirus.sergas.gal/datos/#/es-ES/galicia
12.covid_percent_as,https://choosealicense.com/no-permission/,https://coronavirus.sergas.gal/datos/#/es-ES/galicia
03.covid_as,https://choosealicense.com/no-permission/,"https://obsaludasturias.com/obsa/niveles-covid-19/,https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/"
03.covid_cumun,https://choosealicense.com/no-permission/,"https://obsaludasturias.com/obsa/niveles-covid-19/,https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/"
Generated at,2021-02-22,
